No.,회계년도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,정부안금액(달러),국회확정금액(달러)
"1","2023","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","25,276","25,276"
"2","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","22,374","22,374"
"3","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","266,275","266,275"
"4","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","주요사업비(기금사업비)","일반지출","31,186","26,229"
"5","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","315,218","312,160"
"6","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","기본경비(경상운영비)","일반지출","17,526","17,526"
"7","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","인건비(기금인건비)","일반지출","66,162","66,162"
"8","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","경무인사기획관기본경비","기본경비(경상운영비)","일반지출","13,704","13,704"
"9","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","과학수사관리관기본경비","기본경비(경상운영비)","일반지출","2,251","2,251"
"10","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","정보화장비정책관기본경비","기본경비(경상운영비)","일반지출","3,757","3,757"
"11","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부인건비","경찰청인건비","인건비(기금인건비)","일반지출","597,365","597,365"
"12","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부인건비","시도경찰청인건비","인건비(기금인건비)","일반지출","203,658","203,658"
"13","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰대학기본경비","기본경비(경상운영비)","일반지출","13,376","13,376"
"14","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰인재개발원기본경비","기본경비(경상운영비)","일반지출",905,905
"15","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","중앙학교기본경비","기본경비(경상운영비)","일반지출","2,355","2,355"
"16","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","기획정보활동","주요사업비(기금사업비)","일반지출","12,384","12,384"
"17","2023","경찰청","일반회계","","공공질서및안전","경찰","교통안전·소통확보","교통사고예방","교통안전활동","주요사업비(기금사업비)","일반지출","64,240","64,240"
"18","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","607,138","647,698"
"19","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","대테러상황관리","대테러상황관리","주요사업비(기금사업비)","일반지출","41,392","41,392"
"20","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","과학수사역량강화","주요사업비(기금사업비)","일반지출","8,212","8,212"
"21","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","수사지원","주요사업비(기금사업비)","일반지출","85,500","85,500"
"22","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","안보수사역량강화","주요사업비(기금사업비)","일반지출","20,631","20,631"
"23","2023","경찰청","일반회계","","공공질서및안전","경찰","전문경찰양성","경찰대학운영","경찰대학운영","주요사업비(기금사업비)","일반지출","90,463","90,463"
"24","2023","경찰청","일반회계","","공공질서및안전","경찰","전문경찰양성","경찰인재개발","경찰인재개발","주요사업비(기금사업비)","일반지출","9,748","9,748"
"25","2023","경찰청","일반회계","","공공질서및안전","경찰","전문경찰양성","우수인재확보및능력개발","경찰관채용교육","주요사업비(기금사업비)","일반지출","813,903","813,903"
"26","2023","경찰청","일반회계","","공공질서및안전","경찰","치안상황대응강화","치안상황관리","범죄대응및재난안전관리","주요사업비(기금사업비)","일반지출","97,076","97,076"
"27","2023","경찰청","일반회계","","공공질서및안전","경찰","치안인프라구축","헬기운용 및 현대화","헬기운용 및 현대화","주요사업비(기금사업비)","일반지출","1,589,424","1,589,424"
"28","2023","고용노동부","고용보험기금","","사회복지","고용","고용노동행정지원","기금운영비","고용보험운영 기타경비","기본경비(경상운영비)","일반지출","57,582","57,582"
"29","2023","고용노동부","고용보험기금","","사회복지","고용","고용노동행정지원","기금운영비","직업능력개발사업운영","기본경비(경상운영비)","일반지출","6,206","6,206"
"30","2023","고용노동부","국가균형발전특별회계","지역지원계정","사회복지","고용","고용창출","지역고용촉진지원","지역산업맞춤형일자리창출지원","주요사업비(기금사업비)","일반지출","15,834","15,834"
"31","2023","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","고용노동행정지원","근로복지기금운영비","기금관리비(기타경비)","기본경비(경상운영비)","일반지출","3,628","3,628"
"32","2023","고용노동부","산업재해보상보험및예방기금","","사회복지","노동","고용노동행정지원","산재보험및예방기금운영비","산재보험운영 기타경비","기본경비(경상운영비)","일반지출","6,864","6,864"
"33","2023","고용노동부","산업재해보상보험및예방기금","","사회복지","노동","고용노동행정지원","산재보험및예방기금운영비","산재예방운영 기타경비","기본경비(경상운영비)","일반지출","19,468","19,468"
"34","2023","고용노동부","일반회계","","사회복지","고용","고용창출","사회적기업육성","사회적기업 육성","주요사업비(기금사업비)","일반지출","14,626","14,626"
"35","2023","고용노동부","일반회계","","사회복지","고용노동일반","고용노동행정지원","경제사회노동위원회운영","경제사회노동위원회운영","주요사업비(기금사업비)","일반지출","8,975","8,975"
"36","2023","고용노동부","일반회계","","사회복지","고용노동일반","고용노동행정지원","고용노동행정정보화","고용노동행정(정보화)","주요사업비(기금사업비)","일반지출","2,840","2,840"
"37","2023","고용노동부","일반회계","","사회복지","고용노동일반","고용노동행정지원","본부기본경비","기본경비(고용정책실,비총액)","기본경비(경상운영비)","일반지출","5,124","5,124"
