No.,회계년도,회계월,소관,소관명,회계,회계명,수입관,수입관명,수입항,수입항명,예산액(원),예산현액(원),당월수납금액(원),누계수납금액(원)
"1","2022","04","116","5·18민주화운동 진상규명조사위원회","110","일반회계","12","경상이전수입","57","변상금및위약금",0,0,0,0
"2","2022","04","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","73,000,000","73,000,000",0,"3,718,920"
"3","2022","04","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","520,000,000","520,000,000","37,560,000","73,080,000"
"4","2022","04","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","26,000,000","26,000,000",0,0
"5","2022","04","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","97,000,000","97,000,000",0,0
"6","2022","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","58","가산금","4,000,000","4,000,000",0,"138,000"
"7","2022","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","387,000,000","387,000,000",0,"1,093,050,040"
"8","2022","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","2,480,000,000","2,480,000,000","248,935,000","589,827,000"
"9","2022","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","1,000,000","1,000,000",0,0
"10","2022","04","117","개인정보보호위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","33,000,000","33,000,000","54,810","16,302,190"
"11","2022","04","117","개인정보보호위원회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","1,000,000","1,000,000",0,0
"12","2022","04","037","경찰청","439","경찰병원","12","경상이전수입","59","기타경상이전수입","40,000,000","40,000,000","2,421,190","9,287,700"
"13","2022","04","037","경찰청","439","경찰병원","12","경상이전수입","57","변상금및위약금","6,000,000","6,000,000","3,350","18,100"
"14","2022","04","037","경찰청","439","경찰병원","15","관유물매각대","71","고정자산매각대","2,000,000","2,000,000",0,0
"15","2022","04","037","경찰청","439","경찰병원","10","기업특별회계영업수입","49","책임운영기관사업수입","30,746,000,000","30,746,000,000","2,952,902,840","11,438,415,550"
"16","2022","04","037","경찰청","439","경찰병원","34","세계잉여금","89","세계잉여금이입액","9,524,000,000","9,524,000,000",0,0
"17","2022","04","037","경찰청","439","경찰병원","11","재산수입","51","관유물대여료","48,000,000","48,000,000","-218,160","2,181,560"
"18","2022","04","037","경찰청","439","경찰병원","11","재산수입","54","기타이자수입및재산수입","1,000,000","1,000,000",0,0
"19","2022","04","037","경찰청","439","경찰병원","13","재화및용역판매수입","62","병원수입","6,238,000,000","6,238,000,000","594,147,560","2,026,315,400"
"20","2022","04","037","경찰청","439","경찰병원","13","재화및용역판매수입","69","잡수입","40,000,000","40,000,000","12,846,490","19,846,490"
"21","2022","04","037","경찰청","439","경찰병원","40","정부내부수입및기타","96","기타","2,000,000","2,000,000",0,0
"22","2022","04","037","경찰청","439","경찰병원","40","정부내부수입및기타","91","전입금","35,937,000,000","35,937,000,000","8,000,000,000","19,000,000,000"
"23","2022","04","037","경찰청","110","일반회계","12","경상이전수입","58","가산금","27,515,000,000","27,515,000,000","3,365,587,310","9,690,829,180"
"24","2022","04","037","경찰청","110","일반회계","12","경상이전수입","59","기타경상이전수입","10,079,000,000","10,079,000,000","849,134,510","6,362,990,790"
"25","2022","04","037","경찰청","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","943,161,000,000","943,161,000,000","98,030,121,570","340,510,821,760"
"26","2022","04","037","경찰청","110","일반회계","12","경상이전수입","57","변상금및위약금","2,214,000,000","2,214,000,000","68,617,880","290,810,470"
"27","2022","04","037","경찰청","110","일반회계","15","관유물매각대","71","고정자산매각대","5,328,000,000","5,328,000,000","705,436,820","1,684,461,370"
"28","2022","04","037","경찰청","110","일반회계","15","관유물매각대","72","토지및무형자산매각대","1,036,000,000","1,036,000,000",0,0
"29","2022","04","037","경찰청","110","일반회계","11","재산수입","51","관유물대여료","2,753,000,000","2,753,000,000","146,214,150","1,123,502,450"
"30","2022","04","037","경찰청","110","일반회계","11","재산수입","54","기타이자수입및재산수입","766,000,000","766,000,000","14,287,150","91,902,350"
"31","2022","04","037","경찰청","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","810,000,000","810,000,000","4,696,370","276,241,510"
"32","2022","04","037","경찰청","110","일반회계","13","재화및용역판매수입","66","입학금및수업료","375,000,000","375,000,000","1,558,130","1,558,130"
"33","2022","04","037","경찰청","110","일반회계","13","재화및용역판매수입","69","잡수입","3,033,000,000","3,033,000,000","553,621,130","1,453,975,860"
"34","2022","04","019","고용노동부","541","고용보험기금","12","경상이전수입","58","가산금","3,871,000,000","3,871,000,000","381,566,380","724,091,310"
