No.,회계년도,회계월,소관,소관명,회계,회계명,수입관코드,수입관명,수입항코드,수입항명,수입목코드,수입목명,예산(원),징수결정본월금액(원),징수결정누계금액(원),수납본월금액(원),수납누계금액(원),불납결손본월금액(원),불납결손누계금액(원),미수납누계금액(원)
"1","2023","03","004","국가정보원","110","일반회계","11","재산수입","54","기타이자수입및재산수입","547","기타재산이자외수입","9,785,000,000","3,340,297,200","5,897,061,210","3,340,297,200","5,897,061,210",0,0,0
"2","2023","03","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","1,000,000",0,0,0,0,0,0,0
"3","2023","03","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","15,000,000",0,0,0,0,0,0,0
"4","2023","03","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","30,000,000","276,380","107,251,410","276,380","107,251,410",0,0,0
"5","2023","03","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","104,000,000",0,0,0,0,0,0,0
"6","2023","03","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","691","기타잡수입","489,000,000","66,760,000","66,760,000","66,760,000","66,760,000",0,0,0
"7","2023","03","006","국회","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","228,000,000",0,"-477,560",0,"-477,560",0,0,0
"8","2023","03","006","국회","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","1,523,000,000",0,"631,297,530","7,553,760","631,297,530",0,0,0
"9","2023","03","006","국회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","7,000,000","2,500","803,010","150,910","803,010",0,0,0
"10","2023","03","006","국회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","564","징계부과금",0,0,"572,910",0,"572,910",0,0,0
"11","2023","03","006","국회","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","14,000,000",0,"114,827,870",0,0,0,0,"114,827,870"
"12","2023","03","006","국회","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금","22,000,000",0,0,0,0,0,0,0
"13","2023","03","006","국회","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,0,"133,950",0,0,0,0,"133,950"
"14","2023","03","006","국회","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","1,050,000,000","18,401,900","331,823,460","18,401,900","221,794,900",0,0,"110,028,560"
"15","2023","03","006","국회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","92,000,000",0,0,0,0,0,0,0
"16","2023","03","006","국회","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","782,000,000","70,336,720","175,098,590","70,336,720","175,098,590",0,0,0
"17","2023","03","006","국회","110","일반회계","14","수입대체경비수입","69","잡수입","691","기타잡수입","427,000,000","18,400,000","18,400,000","18,400,000","18,400,000",0,0,0
"18","2023","03","006","국회","110","일반회계","15","관유물매각대","71","고정자산매각대","713","기타고정자산매각대","51,000,000","800,000","800,000","800,000","800,000",0,0,0
"19","2023","03","007","대법원","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","918,000,000","-14,437,900","147,255,470","144,577,070","147,255,470",0,0,0
"20","2023","03","007","대법원","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","3,059,000,000","188,079,240","856,168,400","215,040,590","739,982,440",0,0,"116,185,960"
"21","2023","03","007","대법원","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","42,000,000","464,980","6,009,660","383,150","5,122,570",0,0,"887,090"
"22","2023","03","007","대법원","110","일반회계","11","재산수입","54","기타이자수입및재산수입","547","기타재산이자외수입",0,"105,520","105,520","105,520","105,520",0,0,0
"23","2023","03","007","대법원","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","562","몰수금및추징금","105,000,000","2,319,450","7,562,350","2,319,450","7,562,350",0,0,0
"24","2023","03","007","대법원","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","564","징계부과금",0,0,"1,060,287,190",0,0,0,0,"1,060,287,190"
"25","2023","03","007","대법원","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","247,000,000","3,372,070","427,446,370","6,289,010","14,104,870",0,0,"413,341,500"
"26","2023","03","007","대법원","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,0,"164,070",0,0,0,0,"164,070"
"27","2023","03","007","대법원","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","110,390,000,000","18,752,200","110,399,867,720","25,574,170","110,394,271,830",0,0,"5,595,890"
"28","2023","03","007","대법원","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","453,166,000,000","27,966,848,960","79,983,520,590","27,966,848,960","79,983,342,880",0,0,"177,710"
"29","2023","03","007","대법원","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","153,000,000","38,602,340","80,094,230","38,602,340","80,053,730",0,0,"40,500"
"30","2023","03","007","대법원","110","일반회계","15","관유물매각대","71","고정자산매각대","713","기타고정자산매각대",0,"700,000","700,000","700,000","700,000",0,0,0
"31","2023","03","007","대법원","110","일반회계","40","정부내부수입및기타","91","전입금","912","특별회계전입금","170,211,000,000",0,0,0,0,0,0,0
"32","2023","03","007","대법원","215","등기특별회계","11","재산수입","51","관유물대여료","511","토지대여료","100,000,000",0,"23,356,550","1,036,510","23,356,550",0,0,0
"33","2023","03","007","대법원","215","등기특별회계","11","재산수입","51","관유물대여료","512","건물대여료","192,000,000","2,392,490","100,072,920","30,337,310","99,913,160",0,0,"159,760"
"34","2023","03","007","대법원","215","등기특별회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","155,000,000","658,022,380","658,022,380","38,570","38,570",0,0,"657,983,810"
"35","2023","03","007","대법원","215","등기특별회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","20,000,000","488,080","885,780","505,310","885,780",0,0,0
"36","2023","03","007","대법원","215","등기특별회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","352,003,000,000","18,907,408,150","51,282,687,050","18,907,408,150","51,282,687,050",0,0,0
"37","2023","03","007","대법원","215","등기특별회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","7,000,000","400,500","400,500","400,500","400,500",0,0,0
"38","2023","03","007","대법원","215","등기특별회계","15","관유물매각대","71","고정자산매각대","711","건물매각대","1,389,000,000",0,0,0,0,0,0,0
"39","2023","03","007","대법원","215","등기특별회계","15","관유물매각대","71","고정자산매각대","713","기타고정자산매각대","17,000,000",0,0,0,0,0,0,0
"40","2023","03","007","대법원","215","등기특별회계","15","관유물매각대","72","토지및무형자산매각대","721","토지매각대","10,553,000,000","2,715,707,000","2,715,707,000",0,0,0,0,"2,715,707,000"
"41","2023","03","007","대법원","215","등기특별회계","34","세계잉여금","89","세계잉여금이입액","893","전년도세계잉여금","65,827,000,000",0,0,0,0,0,0,0
"42","2023","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","57","변상금및위약금","571","변상금",0,"39,089,300","1,471,850,070","20,519,920","70,984,880",0,0,"1,400,865,190"
"43","2023","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","57","변상금및위약금","572","위약금",0,0,"800,000",0,0,0,0,"800,000"
"44","2023","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","58","가산금","581","가산금",0,0,"461,680",0,0,0,0,"461,680"
"45","2023","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","59","기타경상이전수입","594","민간출연금","90,636,000,000",0,"36,471,500,000",0,"36,471,500,000",0,0,0
"46","2023","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","270,000,000","49,109,680","230,261,920","49,109,680","230,261,920",0,0,0
"47","2023","03","007","대법원","508","사법서비스진흥기금","31","차입금및여유자금회수","85","정부예금회수","852","통화금융기관예치금회수","77,287,000,000",0,0,0,0,0,0,0
"48","2023","03","007","대법원","508","사법서비스진흥기금","40","정부내부수입및기타","92","예탁원금회수","923","기금예탁원금회수","30,000,000,000",0,0,0,0,0,0,0
"49","2023","03","007","대법원","508","사법서비스진흥기금","40","정부내부수입및기타","95","예탁이자수입","953","기금예탁이자수입","1,092,000,000","379,265,750","379,265,750","379,265,750","379,265,750",0,0,0
"50","2023","03","008","헌법재판소","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입",0,0,"27,130",0,"27,130",0,0,0
"51","2023","03","008","헌법재판소","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","10,000,000","2,827,050","2,827,050","2,827,050","2,827,050",0,0,0
"52","2023","03","008","헌법재판소","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","9,000,000",0,0,0,0,0,0,0
"53","2023","03","008","헌법재판소","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","20,000,000",0,0,0,0,0,0,0
"54","2023","03","009","중앙선거관리위원회","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","23,000,000",0,"28,443,040","15,870","28,443,040",0,0,0
"55","2023","03","009","중앙선거관리위원회","110","일반회계","11","재산수입","51","관유물대여료","513","기타관유물대여료","5,000,000",0,0,0,0,0,0,0
"56","2023","03","009","중앙선거관리위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","5,000,000",0,0,0,0,0,0,0
"57","2023","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","563","과태료","110,000,000","31,403,200","114,356,550","3,765,200","20,109,320",0,0,"94,247,230"
"58","2023","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","2,000,000",0,0,0,0,0,0,0
"59","2023","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,"537,400","1,576,420","118,100","307,280",0,0,"1,269,140"
"60","2023","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","710,000,000","20,252,660","1,356,119,170","37,574,040","77,789,210",0,0,"1,278,329,960"
"61","2023","03","009","중앙선거관리위원회","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","8,000,000","-49,970","16,330,470","30,470","16,330,470",0,0,0
"62","2023","03","010","국무조정실 및 국무총리비서실","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","1,000,000","2,159,640","2,159,640","2,159,640","2,159,640",0,0,0
"63","2023","03","010","국무조정실 및 국무총리비서실","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","22,000,000","367,310","266,054,070","367,310","266,054,070",0,0,0
"64","2023","03","013","법무부","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","699,000,000","13,380,750","329,329,560","35,853,690","166,313,720",0,"187,000","162,828,840"
"65","2023","03","013","법무부","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","703,000,000","23,413,200","223,948,060","48,099,480","144,003,460",0,"8,338,000","71,606,600"
"66","2023","03","013","법무부","110","일반회계","11","재산수입","51","관유물대여료","513","기타관유물대여료","17,000,000",0,0,0,0,0,0,0
"67","2023","03","013","법무부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","331,000,000","42,065,400","499,695,720","405,483,030","492,644,980",0,"59,740","6,991,000"
"68","2023","03","013","법무부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","547","기타재산이자외수입",0,"3,810,000","12,710,910","3,810,000","12,710,910",0,0,0
"69","2023","03","013","법무부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","548","한국은행잉여금",0,"500,000","500,000","500,000","500,000",0,0,0
"70","2023","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","561","벌금및과료","1,128,869,000,000","119,135,286,740","305,746,903,570","117,042,326,740","299,992,683,570",0,0,"5,754,220,000"
"71","2023","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","562","몰수금및추징금","130,898,000,000","9,074,511,490","26,136,184,940","9,074,511,490","26,136,184,940",0,0,0
"72","2023","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","563","과태료","12,167,000,000","959,619,900","12,649,845,000","1,101,408,100","2,876,429,240",0,0,"9,773,415,760"
"73","2023","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","564","징계부과금","30,000,000","9,516,000","682,604,090","2,018,030","2,198,030",0,0,"680,406,060"
"74","2023","03","013","법무부","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","205,000,000","5,960,280","2,377,005,950","6,496,600","29,553,950",0,"7,530,290","2,339,921,710"
"75","2023","03","013","법무부","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금","783,000,000","151,000,000","389,088,120","151,000,000","388,025,210",0,0,"1,062,910"
"76","2023","03","013","법무부","110","일반회계","12","경상이전수입","58","가산금","581","가산금","39,000,000","428,430","1,381,990,110","25,830","106,830",0,"5,992,510","1,375,890,770"
"77","2023","03","013","법무부","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","8,229,000,000","663,320,000","1,989,551,970","837,863,330","1,616,861,310",0,"135,250","372,555,410"
"78","2023","03","013","법무부","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","50,123,000,000","4,513,928,130","13,367,479,110","4,513,928,130","13,367,479,110",0,0,0
"79","2023","03","013","법무부","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","740,000,000","40,111,460","203,787,120","67,717,440","184,800,940",0,0,"18,986,180"
"80","2023","03","013","법무부","110","일반회계","14","수입대체경비수입","65","면허료및수수료","651","면허료및수수료","11,850,000,000","1,240,617,160","3,815,392,000","1,144,917,160","3,693,112,000",0,0,"122,280,000"
"81","2023","03","013","법무부","110","일반회계","14","수입대체경비수입","69","잡수입","691","기타잡수입","151,000,000",0,"10,117,600",0,"10,117,600",0,0,0
"82","2023","03","013","법무부","110","일반회계","15","관유물매각대","71","고정자산매각대","713","기타고정자산매각대",0,0,"29,440,900",0,"29,440,900",0,0,0
"83","2023","03","013","법무부","219","교도작업특별회계","11","재산수입","51","관유물대여료","512","건물대여료",0,0,"448,660",0,"448,660",0,0,0
"84","2023","03","013","법무부","219","교도작업특별회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입",0,0,"296,000",0,"296,000",0,0,0
"85","2023","03","013","법무부","219","교도작업특별회계","12","경상이전수입","59","기타경상이전수입","595","설비부담금",0,"6,467,740","6,467,740","146,020","146,020",0,0,"6,321,720"
"86","2023","03","013","법무부","219","교도작업특별회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","103,000,000","25,553,070","131,058,350","53,070","105,558,350",0,0,"25,500,000"
"87","2023","03","013","법무부","219","교도작업특별회계","13","재화및용역판매수입","63","교도소수입","631","교도소수입","64,343,000,000","5,948,603,970","15,185,440,080","5,157,015,170","11,362,038,810",0,0,"3,823,401,270"
"88","2023","03","013","법무부","219","교도작업특별회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","369,000,000","6,980,380","20,173,790","6,699,500","19,804,910",0,0,"368,880"
"89","2023","03","013","법무부","219","교도작업특별회계","15","관유물매각대","71","고정자산매각대","712","기계기구매각대",0,"6,270,000","6,270,000","6,270,000","6,270,000",0,0,0
"90","2023","03","013","법무부","219","교도작업특별회계","34","세계잉여금","89","세계잉여금이입액","893","전년도세계잉여금","9,840,000,000",0,0,0,0,0,0,0
"91","2023","03","013","법무부","219","교도작업특별회계","40","정부내부수입및기타","92","예탁원금회수","923","기금예탁원금회수","45,000,000,000",0,0,0,0,0,0,0
"92","2023","03","013","법무부","219","교도작업특별회계","40","정부내부수입및기타","95","예탁이자수입","953","기금예탁이자수입","1,824,000,000","681,891,980","681,891,980","681,891,980","681,891,980",0,0,0
"93","2023","03","013","법무부","583","범죄피해자보호기금","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","417,000,000","73,130,350","87,288,770","78,670,130","80,487,440",0,0,"6,801,330"
"94","2023","03","013","법무부","583","범죄피해자보호기금","12","경상이전수입","56","벌금,몰수금및과태료","565","과징금",0,"7,094,460","53,158,510","46,064,050","46,064,050",0,0,"7,094,460"
"95","2023","03","013","법무부","583","범죄피해자보호기금","12","경상이전수입","57","변상금및위약금","571","변상금","1,552,000,000","113,673,350","352,052,650","113,673,350","352,052,650",0,0,0
"96","2023","03","013","법무부","583","범죄피해자보호기금","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","2,373,000,000","1,359,180,050","3,548,048,950","1,359,180,050","1,572,062,100",0,0,"1,975,986,850"
"97","2023","03","013","법무부","583","범죄피해자보호기금","31","차입금및여유자금회수","85","정부예금회수","852","통화금융기관예치금회수","14,805,000,000",0,0,0,0,0,0,0
"98","2023","03","013","법무부","583","범죄피해자보호기금","40","정부내부수입및기타","91","전입금","911","일반회계전입금","94,200,000,000","28,260,000,000","65,940,000,000",0,"37,680,000,000",0,0,"28,260,000,000"
"99","2023","03","014","국방부","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","4,479,000,000","491,182,900","1,764,483,160","481,556,950","976,432,670",0,0,"788,050,490"
"100","2023","03","014","국방부","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","1,557,000,000","112,898,810","672,420,600","109,196,530","367,449,750",0,0,"304,970,850"
"101","2023","03","014","국방부","110","일반회계","11","재산수입","51","관유물대여료","513","기타관유물대여료","2,054,000,000","4,483,400","5,478,800,830","8,177,320","5,463,153,410",0,0,"15,647,420"
"102","2023","03","014","국방부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","1,781,000,000","177,340,480","493,524,440","174,375,860","470,959,490",0,0,"22,564,950"
"103","2023","03","014","국방부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","561","벌금및과료","4,669,000,000","453,934,630","1,903,988,300","488,479,700","1,595,544,700",0,0,"308,443,600"
"104","2023","03","014","국방부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","562","몰수금및추징금","54,000,000",0,"46,542,430",0,"1,540,000",0,0,"45,002,430"
"105","2023","03","014","국방부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","564","징계부과금","16,000,000","596,560","275,475,410","596,560","-484,940",0,0,"275,960,350"
"106","2023","03","014","국방부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","565","과징금","76,000,000","1,349,120","3,366,900","1,349,120","2,358,010",0,0,"1,008,890"
"107","2023","03","014","국방부","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","2,987,000,000","75,908,490","11,291,324,140","557,094,080","837,021,610",0,0,"10,454,302,530"
"108","2023","03","014","국방부","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금","16,449,000,000","3,897,196,360","17,553,823,200","-111,243,470","8,431,573,040",0,0,"9,122,250,160"
"109","2023","03","014","국방부","110","일반회계","12","경상이전수입","58","가산금","581","가산금","3,000,000",0,0,0,0,0,0,0
"110","2023","03","014","국방부","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","118,774,000,000","11,556,019,980","137,055,536,950","12,221,029,550","43,784,804,440",0,"6,230,010","93,264,502,500"
