No.,회계년도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,목명,세목명,정부안금액(달러),국회확정금액(달러)
"1","2023","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","여비","국외업무여비","25,276","25,276"
"2","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","여비","국외업무여비","17,878","17,878"
"3","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","운영비","일반수용비","4,496","4,496"
"4","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","여비","국외교육여비","42,525","42,525"
"5","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","여비","국외업무여비","223,750","223,750"
"6","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","주요사업비(기금사업비)","일반지출","여비","국외업무여비","31,186","26,229"
"7","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","업무추진비","관서업무추진비","27,500","27,500"
"8","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","여비","국외업무여비","161,174","158,116"
"9","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","공공요금및제세","2,258","2,258"
"10","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","시설장비유지비","2,419","2,419"
"11","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","일반수용비","2,000","2,000"
"12","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","임차료","36,400","36,400"
"13","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","해외이전","국제부담금","83,467","83,467"
"14","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","기본경비(경상운영비)","일반지출","여비","국외교육여비","17,526","17,526"
"15","2023","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","인건비(기금인건비)","일반지출","인건비","보수","66,162","66,162"
"16","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","경무인사기획관기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","13,704","13,704"
"17","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","과학수사관리관기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","2,251","2,251"
"18","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","정보화장비정책관기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","3,757","3,757"
"19","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부인건비","경찰청인건비","인건비(기금인건비)","일반지출","인건비","보수","597,365","597,365"
"20","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부인건비","시도경찰청인건비","인건비(기금인건비)","일반지출","인건비","보수","203,658","203,658"
"21","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰대학기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","13,376","13,376"
"22","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰인재개발원기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비",905,905
"23","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","중앙학교기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","2,355","2,355"
"24","2023","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","기획정보활동","주요사업비(기금사업비)","일반지출","특수활동비","특수활동비","12,384","12,384"
"25","2023","경찰청","일반회계","","공공질서및안전","경찰","교통안전·소통확보","교통사고예방","교통안전활동","주요사업비(기금사업비)","일반지출","여비","국외업무여비","64,240","64,240"
"26","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","업무추진비","사업추진비",0,"6,000"
"27","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","여비","국외업무여비","58,080","92,640"
"28","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","운영비","공공요금및제세","2,800","2,800"
"29","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","운영비","일반수용비","10,800","10,800"
"30","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","운영비","임차료","535,458","535,458"
"31","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","대테러상황관리","대테러상황관리","주요사업비(기금사업비)","일반지출","여비","국외업무여비","23,188","23,188"
"32","2023","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","대테러상황관리","대테러상황관리","주요사업비(기금사업비)","일반지출","특수활동비","특수활동비","18,204","18,204"
"33","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","과학수사역량강화","주요사업비(기금사업비)","일반지출","여비","국외업무여비","8,011","8,011"
"34","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","과학수사역량강화","주요사업비(기금사업비)","일반지출","운영비","일반수용비",201,201
"35","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","수사지원","주요사업비(기금사업비)","일반지출","여비","국외업무여비","85,500","85,500"
"36","2023","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","안보수사역량강화","주요사업비(기금사업비)","일반지출","여비","국외업무여비","20,631","20,631"
