No.,회계년도,집행월,소관명,회계명,분야명,부문명,프로그램명,단위사업명,세부사업명,예산액,예산현액,당월지출금액,누계지출금액
"1","2022","202204","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","5,452,000,000","5,932,690,000","136,000,000","331,910,000"
"2","2022","202204","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","4,421,000,000","4,421,000,000","287,874,750","1,269,457,270"
"3","2022","202204","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","3,860,000,000","3,860,000,000","376,631,870","1,178,168,690"
"4","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(비총액)","3,086,000,000","3,306,000,000","106,066,750","1,623,283,670"
"5","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(총액)","1,690,000,000","1,690,000,000","113,948,380","664,682,290"
"6","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","기관운영","인건비","인건비(총액)","5,076,000,000","4,856,000,000","498,043,600","1,871,935,440"
"7","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","가습기살균제사건 진상규명","가습기살균제참사 진상규명 조사",0,"22,000,000",0,0
"8","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","대외 소통","대국민 소통 강화","79,000,000","79,000,000","7,000,000","37,045,000"
"9","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","세월호참사 진상규명","세월호참사 진상규명 조사","1,856,000,000","4,431,033,500","355,777,020","716,803,130"
"10","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","안전사회 건설","안전사회 건설","48,000,000","169,376,360","34,233,570","68,238,890"
"11","2022","202204","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","자료 수집 보존","종합보고서·백서 발간 및 기록물 이관·보존","549,000,000","966,972,100","19,150,150","275,966,450"
