No.,회계연도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,전년도국회확정금액(천원),정부안금액(천원),국회확정금액(천원)
"1","2022","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","4,022,000","5,642,000","5,452,000"
"2","2022","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","기본경비(경상운영비)","일반지출","3,672,000","4,420,000","4,421,000"
"3","2022","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","인건비(기금인건비)","일반지출","2,493,000","3,866,000","3,866,000"
"4","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(비총액)","기본경비(경상운영비)","일반지출","2,371,000","3,094,000","3,094,000"
"5","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(총액)","기본경비(경상운영비)","일반지출","691,000","1,687,000","1,690,000"
"6","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","인건비","인건비(총액)","인건비(기금인건비)","일반지출","1,945,000","5,086,000","5,086,000"
"7","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","가습기살균제사건 진상규명","가습기살균제참사 진상규명 조사","주요사업비(기금사업비)","일반지출",0,0,0
"8","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","대외 소통","대국민 소통 강화","주요사업비(기금사업비)","일반지출",0,"79,000","79,000"
"9","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","세월호참사 진상규명","세월호참사 진상규명 조사","주요사업비(기금사업비)","일반지출",0,"1,856,000","1,856,000"
"10","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","안전사회 건설","안전사회 건설","주요사업비(기금사업비)","일반지출",0,"48,000","48,000"
"11","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","자료 수집 보존","종합보고서·백서 발간 및 기록물 이관·보존","주요사업비(기금사업비)","일반지출","775,000","549,000","549,000"
"12","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","청문회 지원","청문회 개최 지원 및 자료 검증","주요사업비(기금사업비)","일반지출",0,"113,000","113,000"
"13","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","피해 지원","피해자 지원 대책 수립","주요사업비(기금사업비)","일반지출",0,"14,000","14,000"
"14","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","446,000","443,000","443,000"
"15","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","20,162,000","18,295,000","18,295,000"
"16","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","주요사업비(기금사업비)","일반지출","348,000","366,000","366,000"
"17","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","감사기구 역량강화(ODA)","주요사업비(기금사업비)","일반지출","297,000","297,000","297,000"
"18","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","755,000","645,000","636,500"
"19","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","기본경비(경상운영비)","일반지출","12,737,000","13,217,000","13,197,000"
