No.,회계년도,회계월,소관,소관명,회계,회계명,수입관,수입관명,수입항,수입항명,예산액(원),예산현액(원),당월수납금액(원),누계수납금액(원)
"1","2022","03","116","5·18민주화운동 진상규명조사위원회","110","일반회계","12","경상이전수입","57","변상금및위약금",0,0,0,0
"2","2022","03","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","73,000,000","73,000,000","2,373,800","3,718,920"
"3","2022","03","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","520,000,000","520,000,000","35,520,000","35,520,000"
"4","2022","03","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","26,000,000","26,000,000",0,0
"5","2022","03","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","97,000,000","97,000,000",0,0
"6","2022","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","58","가산금","4,000,000","4,000,000","138,000","138,000"
"7","2022","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","387,000,000","387,000,000","1,093,017,040","1,093,050,040"
"8","2022","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","2,480,000,000","2,480,000,000","6,100,000","340,892,000"
"9","2022","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","1,000,000","1,000,000",0,0
"10","2022","03","117","개인정보보호위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","33,000,000","33,000,000","16,247,380","16,247,380"
"11","2022","03","117","개인정보보호위원회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","1,000,000","1,000,000",0,0
"12","2022","03","037","경찰청","439","경찰병원","12","경상이전수입","59","기타경상이전수입","40,000,000","40,000,000","1,566,020","6,866,510"
"13","2022","03","037","경찰청","439","경찰병원","12","경상이전수입","57","변상금및위약금","6,000,000","6,000,000","12,050","14,750"
"14","2022","03","037","경찰청","439","경찰병원","15","관유물매각대","71","고정자산매각대","2,000,000","2,000,000",0,0
"15","2022","03","037","경찰청","439","경찰병원","10","기업특별회계영업수입","49","책임운영기관사업수입","30,746,000,000","30,746,000,000","3,085,249,220","8,485,512,710"
