No.,회계연도,추경차수,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,본예산금액(천원),추경정부안금액(천원),추경국회확정금액(천원)
"1","2022","0","감사원","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","73,000",0,0
"2","2022","0","감사원","일반회계","","수입대체경비수입","잡수입","기타잡수입","일반수입","520,000",0,0
"3","2022","0","감사원","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","19,000",0,0
"4","2022","0","감사원","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","7,000",0,0
"5","2022","0","감사원","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","97,000",0,0
"6","2022","0","개인정보보호위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","4,000",0,0
"7","2022","0","개인정보보호위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","387,000",0,0
"8","2022","0","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","1,583,000",0,0
"9","2022","0","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","897,000",0,0
"10","2022","0","개인정보보호위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000",0,0
"11","2022","0","개인정보보호위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","33,000",0,0
"12","2022","0","개인정보보호위원회","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","1,000",0,0
"13","2022","0","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","40,000",0,0
"14","2022","0","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","6,000",0,0
"15","2022","0","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","2,000",0,0
"16","2022","0","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","30,746,000",0,0
"17","2022","0","경찰청","경찰병원","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","9,446,000",0,0
"18","2022","0","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","일반수입","48,000",0,0
"19","2022","0","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000",0,0
"20","2022","0","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","일반수입","6,238,000",0,0
"21","2022","0","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","40,000",0,0
"22","2022","0","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","32,615,000",0,0
"23","2022","0","경찰청","경찰병원","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","78,000",0,0
"24","2022","0","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","감가상각비전입금","내부거래수입(회계내 계정간 거래)","1,000",0,0
"25","2022","0","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","당기순이익전입금","내부거래수입(회계내 계정간 거래)","1,000",0,0
"26","2022","0","경찰청","경찰병원","자본계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","3,483,000",0,0
"27","2022","0","경찰청","일반회계","","경상이전수입","가산금","가산금","일반수입","27,515,000",0,0
"28","2022","0","경찰청","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","10,079,000",0,0
"29","2022","0","경찰청","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","848,674,000",0,0
"30","2022","0","경찰청","일반회계","","경상이전수입","벌금,몰수금및과태료","벌금및과료","일반수입","94,465,000",0,0
"31","2022","0","경찰청","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","22,000",0,0
"32","2022","0","경찰청","일반회계","","경상이전수입","변상금및위약금","변상금","일반수입","110,000",0,0
"33","2022","0","경찰청","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","2,104,000",0,0
"34","2022","0","경찰청","일반회계","","관유물매각대","고정자산매각대","기계기구매각대","일반수입","4,926,000",0,0
"35","2022","0","경찰청","일반회계","","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","402,000",0,0
"36","2022","0","경찰청","일반회계","","관유물매각대","토지및무형자산매각대","토지매각대","일반수입","1,036,000",0,0
"37","2022","0","경찰청","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","1,413,000",0,0
"38","2022","0","경찰청","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","1,340,000",0,0
"39","2022","0","경찰청","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","766,000",0,0
"40","2022","0","경찰청","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","810,000",0,0
"41","2022","0","경찰청","일반회계","","재화및용역판매수입","입학금및수업료","수업료","일반수입","375,000",0,0
"42","2022","0","경찰청","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","3,033,000",0,0
"43","2022","0","고용노동부","국가균형발전특별회계","제주특별자치도계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","400,000",0,0
"44","2022","0","고용노동부","국가균형발전특별회계","지역지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","9,600,000",0,0
"45","2022","0","고용노동부","일반회계","","경상이전수입","가산금","가산금","일반수입","264,000",0,0
"46","2022","0","고용노동부","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","87,000,000",0,0
"47","2022","0","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","78,000",0,0
"48","2022","0","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","42,900,000",0,0
"49","2022","0","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","20,000",0,0
"50","2022","0","고용노동부","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","10,000",0,0
"51","2022","0","고용노동부","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","776,000",0,0
"52","2022","0","고용노동부","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","8,000",0,0
"53","2022","0","고용노동부","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","5,000",0,0
"54","2022","0","공정거래위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","391,000",0,0
"55","2022","0","공정거래위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","1,245,000",0,0
"56","2022","0","공정거래위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","387,907,000",0,0
"57","2022","0","공정거래위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","1,887,000",0,0
"58","2022","0","공정거래위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000",0,0
"59","2022","0","공정거래위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","2,000",0,0
"60","2022","0","과학기술정보통신부","국가균형발전특별회계","지역지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","8,854,000",0,0
"61","2022","0","과학기술정보통신부","국가균형발전특별회계","지역지원계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","425,000",0,0
"62","2022","0","과학기술정보통신부","국립과천과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","4,066,000",0,0
"63","2022","0","과학기술정보통신부","국립과천과학관","손익계정","재산수입","관유물대여료","건물대여료","일반수입","719,000",0,0
"64","2022","0","과학기술정보통신부","국립과천과학관","손익계정","재산수입","관유물대여료","토지대여료","일반수입","40,000",0,0
"65","2022","0","과학기술정보통신부","국립과천과학관","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000",0,0
"66","2022","0","과학기술정보통신부","국립과천과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","81,000",0,0
"67","2022","0","과학기술정보통신부","국립과천과학관","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","24,329,000",0,0
"68","2022","0","과학기술정보통신부","국립과천과학관","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","503,000",0,0
"69","2022","0","과학기술정보통신부","국립과천과학관","자본계정","정부내부수입및기타","기타","감가상각비전입금","내부거래수입(회계내 계정간 거래)","1,500,000",0,0
"70","2022","0","과학기술정보통신부","국립과천과학관","자본계정","정부내부수입및기타","기타","당기순이익전입금","내부거래수입(회계내 계정간 거래)","1,000",0,0
