No.,회계년도,집행월,소관,소관명,회계,회계명,분야코드,분야명,부문코드,부문명,프로그램코드,프로그램명,단위사업코드,단위사업명,예산(원),당월집행액(원),누계집행액(원)
"1","2023","04","004","국가정보원","110","일반회계","010","일반·지방행정","016","일반행정","1100","국가정보지원","1131","정보활동","861,043,847,690","27,000,000,000","392,000,000,000"
"2","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1101","인건비","92,533,000,000","7,010,722,390","29,651,012,900"
"3","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1111","기본경비","13,430,196,000","1,128,181,810","4,431,766,550"
"4","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1131","감사활동경비","17,296,979,610","1,362,165,310","5,676,561,740"
"5","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1133","청사 및 시설물 관리","4,546,000,000","68,490,300","893,441,510"
"6","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1134","전산운영경비","8,984,984,980","411,681,700","1,234,117,210"
"7","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1135","국제교류협력강화","1,198,804,000","188,974,740","503,599,010"
"8","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1142","수입대체경비","376,000,000","36,865,040","90,462,450"
"9","2023","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1151","감사연구활동경비","583,000,000","26,846,800","80,866,050"
"10","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1031","의정지원","81,756,232,920","5,150,867,370","18,568,948,930"
"11","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1032","위원회운영지원","14,128,064,000","1,563,780,710","4,530,004,720"
"12","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1033","의회외교","19,009,644,000","1,647,885,570","6,077,292,240"
"13","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1034","국회활동관련단체지원","11,349,000,000","991,366,260","3,789,982,040"
"14","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1035","예비금","1,300,000,000","117,840,000","117,840,000"
"15","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2031","의회운영지원","25,019,150,800","3,340,293,690","8,924,681,290"
"16","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2032","법제활동지원","957,000,000","97,925,900","317,928,900"
"17","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2033","국회청사확보및시설관리","47,930,270,960","4,180,328,920","12,096,926,330"
"18","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2034","입법정보화","43,786,334,220","2,282,084,610","4,893,121,800"
"19","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2035","의회운영교육 수입대체경비","427,000,000","101,876,540","226,151,540"
"20","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2036","국회방송운영","15,851,615,000","1,278,460,220","3,302,226,480"
"21","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3031","도서관운영지원","4,292,700,000","511,457,580","1,455,747,240"
"22","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3032","입법정보지원","1,212,000,000","164,853,950","353,172,320"
"23","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3033","도서관자료확충및보존","7,734,300,000","724,156,670","2,686,138,260"
"24","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3035","전자도서관운영","27,364,000,000","5,533,612,010","7,158,320,610"
"25","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","4000","예산정책처운영","4031","기획관리및정책총괄지원","963,000,000","17,606,010","429,868,530"
"26","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","4000","예산정책처운영","4032","국가재정·경제분석및의안비용추계","3,218,726,400","159,183,930","1,063,393,940"
"27","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","4000","예산정책처운영","4033","예산정책처정보화","1,003,882,310","23,242,770","161,970,490"
"28","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","5000","입법조사처운영","5031","기획관리및운영지원","519,000,000","140,069,670","303,758,680"
"29","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","5000","입법조사처운영","5032","입법및정책조사분석","2,016,000,000","415,046,670","1,033,400,820"
"30","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","5000","입법조사처운영","5033","입법조사처 정보화","955,000,000","43,929,340","125,560,040"
"31","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7001","사무처 인건비","339,948,000,000","26,913,799,060","120,737,577,190"
"32","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7002","도서관 인건비","30,668,000,000","2,332,324,450","9,893,690,670"
"33","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7003","예산처 인건비","14,185,000,000","1,086,967,390","4,184,162,200"
"34","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7004","조사처 인건비","13,061,000,000","1,034,871,820","3,893,195,120"
"35","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7011","사무처 기본경비","27,511,864,860","1,868,956,320","10,966,435,410"
"36","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7018","도서관 기본경비","2,198,443,000","245,003,810","942,601,200"
"37","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7019","예산처 기본경비","2,872,000,000","212,493,860","1,011,277,900"
"38","2023","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7020","조사처 기본경비","1,781,000,000","165,861,620","689,605,250"
"39","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1100","재판활동지원","1136","가족관계등록사무지원","14,580,000,000","107,149,110","14,253,947,630"
"40","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1100","재판활동지원","1140","법관등 전문화 및 국제화","8,142,000,000","270,247,830","1,985,029,250"
"41","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1100","재판활동지원","1142","사법행정효율성증진","12,045,776,630","760,172,380","5,108,527,160"
"42","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1100","재판활동지원","1143","재판청구권 실현","145,886,858,070","13,435,636,380","52,789,063,480"
"43","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1100","재판활동지원","1144","사실심충실화","3,992,346,180","198,045,840","457,806,340"
"44","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1100","재판활동지원","1148","법원예비금","280,000,000",0,0
"45","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1200","법원시설 확충 및 유지보수","1253","법원시설관리 등","45,972,571,300","2,104,776,810","7,825,858,790"
"46","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1300","사법정보화운영","1331","사법업무 전산화","82,898,271,730","2,023,193,570","7,909,063,390"
"47","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1300","사법정보화운영","1332","가족등록업무전산화","17,750,065,000","995,529,690","2,860,667,280"
"48","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","1300","사법정보화운영","1333","법원전자도서관 개발 및 운영","2,704,726,280","77,536,450","344,686,950"
"49","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7001","본부 인건비","1,228,315,000,000","98,741,747,270","439,937,359,190"
"50","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7002","소속기관 인건비","20,633,000,000","1,521,388,720","6,703,762,710"
"51","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7011","사법운영 기본경비","83,340,242,540","9,346,304,810","36,940,738,250"
"52","2023","04","007","대법원","110","일반회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7031","사법운영지원","119,138,186,120","7,693,627,450","30,839,877,770"
"53","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","1200","법원시설 확충 및 유지보수","1252","등기소 확충","19,069,606,680","2,527,638,290","4,069,387,030"
"54","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","1300","사법정보화운영","1334","등기업무전산화","61,383,136,990","7,000,727,520","16,978,859,700"
"55","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7001","본부 인건비","126,145,000,000","8,585,719,460","42,200,500,030"
"56","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7011","본부 기본경비","5,058,000,000","375,453,340","1,534,160,130"
"57","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7032","등기업무지원","28,829,791,370","2,430,294,460","8,431,358,910"
"58","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","7000","사법행정운영지원","7033","예비비","200,000,000",0,0
"59","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","8000","회계간거래","8010","회계간전출","170,211,000,000",0,0
"60","2023","04","007","대법원","215","등기특별회계","020","공공질서및안전","021","법원및헌재","8400","내부거래지출","8410","회계기금간거래","22,444,000,000","1,978,575,130","8,581,297,740"
