No.,회계년도,회계월,소관,소관명,회계,회계명,수입관코드,수입관명,수입항코드,수입항명,수입목코드,수입목명,예산(원),징수결정본월금액(원),징수결정누계금액(원),수납본월금액(원),수납누계금액(원),불납결손본월금액(원),불납결손누계금액(원),미수납누계금액(원)
"1","2022","03","004","국가정보원","110","일반회계","11","재산수입","54","기타이자수입및재산수입","547","기타재산이자외수입","7,719,000,000","2,135,194,920","4,210,286,420","2,135,194,920","4,210,286,420",0,0,0
"2","2022","03","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","7,000,000",0,0,0,0,0,0,0
"3","2022","03","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","19,000,000",0,0,0,0,0,0,0
"4","2022","03","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","73,000,000","2,373,800","3,718,920","2,373,800","3,718,920",0,0,0
"5","2022","03","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","97,000,000",0,0,0,0,0,0,0
"6","2022","03","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","691","기타잡수입","520,000,000","35,520,000","35,520,000","35,520,000","35,520,000",0,0,0
"7","2022","03","006","국회","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","490,000,000",0,"9,477,130",0,"9,477,130",0,0,0
"8","2022","03","006","국회","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","1,485,000,000",0,"552,042,850","2,761,810","551,801,360",0,0,"241,490"
"9","2022","03","006","국회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","6,000,000","997,760","1,290,460","259,480","543,630",0,0,"746,830"
"10","2022","03","006","국회","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","14,000,000",0,"114,827,870",0,0,0,0,"114,827,870"
"11","2022","03","006","국회","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금","22,000,000",0,0,0,0,0,0,0
"12","2022","03","006","국회","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,0,"82,350",0,0,0,0,"82,350"
"13","2022","03","006","국회","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","912,000,000","351,943,040","741,997,200","90,886,230","232,227,810",0,0,"509,769,390"
"14","2022","03","006","국회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","91,000,000",0,0,0,0,0,0,0
"15","2022","03","006","국회","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","860,000,000","8,932,860","69,358,750","8,932,860","69,358,750",0,0,0
"16","2022","03","006","국회","110","일반회계","14","수입대체경비수입","69","잡수입","691","기타잡수입","232,000,000","7,900,000","7,900,000","7,900,000","7,900,000",0,0,0
"17","2022","03","006","국회","110","일반회계","15","관유물매각대","71","고정자산매각대","713","기타고정자산매각대","51,000,000","93,700,000","93,700,000","93,700,000","93,700,000",0,0,0
"18","2022","03","007","대법원","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","908,000,000","-13,334,170","161,404,720","133,341,720","161,404,720",0,0,0
"19","2022","03","007","대법원","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","2,970,000,000","61,157,970","724,291,750","225,894,440","697,849,680",0,0,"26,442,070"
"20","2022","03","007","대법원","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입",0,"1,419,430","2,547,670","1,414,190","1,927,080",0,0,"620,590"
"21","2022","03","007","대법원","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","562","몰수금및추징금","105,000,000","2,202,380","14,775,280","2,202,380","14,775,280",0,0,0
"22","2022","03","007","대법원","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","564","징계부과금",0,0,"1,100,287,190",0,0,0,0,"1,100,287,190"
"23","2022","03","007","대법원","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","247,000,000","8,163,600","478,221,810","5,997,880","71,649,140",0,0,"406,572,670"
"24","2022","03","007","대법원","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금",0,100,"4,000,100",100,"4,000,100",0,0,0
"25","2022","03","007","대법원","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,0,"164,070",0,0,0,0,"164,070"
"26","2022","03","007","대법원","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","145,051,000,000","183,318,420","104,229,414,440","195,196,480","104,224,312,280",0,0,"5,102,160"
"27","2022","03","007","대법원","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","284,308,000,000","23,746,222,280","69,449,920,700","23,746,222,280","69,449,742,990",0,0,"177,710"
"28","2022","03","007","대법원","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","153,000,000","32,114,760","76,023,880","31,014,260","74,882,880",0,0,"1,141,000"
"29","2022","03","007","대법원","110","일반회계","40","정부내부수입및기타","91","전입금","912","특별회계전입금","50,305,000,000",0,0,0,0,0,0,0
"30","2022","03","007","대법원","215","등기특별회계","11","재산수입","51","관유물대여료","511","토지대여료","100,000,000","945,210","21,747,910","945,210","21,747,910",0,0,0
"31","2022","03","007","대법원","215","등기특별회계","11","재산수입","51","관유물대여료","512","건물대여료","192,000,000","28,561,340","111,453,000","28,499,210","111,390,870",0,0,"62,130"
"32","2022","03","007","대법원","215","등기특별회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","155,000,000",0,"2,075,840","2,075,840","2,075,840",0,0,0
"33","2022","03","007","대법원","215","등기특별회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","20,000,000","30,490","1,125,710","30,490","1,125,710",0,0,0
"34","2022","03","007","대법원","215","등기특별회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","258,087,000,000","19,189,641,880","55,851,279,320","19,189,641,880","55,851,279,320",0,0,0
"35","2022","03","007","대법원","215","등기특별회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","7,000,000",0,0,0,0,0,0,0
"36","2022","03","007","대법원","215","등기특별회계","15","관유물매각대","71","고정자산매각대","711","건물매각대","1,389,000,000",0,"64,000,000",0,"64,000,000",0,0,0
"37","2022","03","007","대법원","215","등기특별회계","15","관유물매각대","71","고정자산매각대","713","기타고정자산매각대","17,000,000",0,"177,450",0,"177,450",0,0,0
"38","2022","03","007","대법원","215","등기특별회계","15","관유물매각대","72","토지및무형자산매각대","721","토지매각대","10,261,000,000",0,"12,351,532,320","2,715,709,770","12,351,532,320",0,0,0
"39","2022","03","007","대법원","215","등기특별회계","34","세계잉여금","89","세계잉여금이입액","893","전년도세계잉여금","35,175,000,000",0,0,0,0,0,0,0
"40","2022","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","57","변상금및위약금","571","변상금",0,"38,942,760","1,279,516,580","19,689,760","62,173,940",0,0,"1,217,342,640"
"41","2022","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","57","변상금및위약금","572","위약금",0,0,"800,000",0,0,0,0,"800,000"
"42","2022","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","58","가산금","581","가산금",0,"18,560","361,920","6,960","9,280",0,0,"352,640"
"43","2022","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","59","기타경상이전수입","594","민간출연금","101,596,000,000",0,"42,001,000,000",0,"42,001,000,000",0,0,0
"44","2022","03","007","대법원","508","사법서비스진흥기금","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입",0,"36,675,170","106,496,020","43,417,950","106,496,020",0,0,0
"45","2022","03","007","대법원","508","사법서비스진흥기금","31","차입금및여유자금회수","85","정부예금회수","852","통화금융기관예치금회수","49,829,000,000",0,0,0,0,0,0,0
"46","2022","03","007","대법원","508","사법서비스진흥기금","40","정부내부수입및기타","92","예탁원금회수","923","기금예탁원금회수","30,000,000,000",0,0,0,0,0,0,0
"47","2022","03","007","대법원","508","사법서비스진흥기금","40","정부내부수입및기타","95","예탁이자수입","953","기금예탁이자수입","1,170,000,000","178,323,280","178,323,280","178,323,280","178,323,280",0,0,0
"48","2022","03","008","헌법재판소","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","450,000,000","-5,343,570","5,909,310","282,870","5,909,310",0,0,0
"49","2022","03","008","헌법재판소","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","9,000,000",0,0,0,0,0,0,0
"50","2022","03","008","헌법재판소","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","21,000,000",0,0,0,0,0,0,0
"51","2022","03","009","중앙선거관리위원회","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","15,000,000","30,510","11,600,710",0,"11,570,200",0,0,"30,510"
"52","2022","03","009","중앙선거관리위원회","110","일반회계","11","재산수입","51","관유물대여료","513","기타관유물대여료","5,000,000",0,0,0,0,0,0,0
"53","2022","03","009","중앙선거관리위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","10,000,000",0,"14,300",0,"14,300",0,0,0
"54","2022","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","563","과태료","300,000,000","4,200,000","211,570,700","2,941,350","14,580,230",0,0,"196,990,470"
"55","2022","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금",0,0,"75,848,000",0,"75,848,000",0,0,0
"56","2022","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,"14,000","1,274,200",0,"35,800",0,0,"1,238,400"
"57","2022","03","009","중앙선거관리위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","3,695,000,000","64,212,890","2,711,236,190","170,813,310","1,457,897,870",0,0,"1,253,338,320"
"58","2022","03","009","중앙선거관리위원회","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","10,000,000","16,300,000","65,273,970","16,300,000","48,973,970",0,0,"16,300,000"
"59","2022","03","010","국무조정실 및 국무총리비서실","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","1,000,000","575,390","575,390","575,390","575,390",0,0,0
"60","2022","03","010","국무조정실 및 국무총리비서실","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","22,000,000","52,270,400","65,208,000","52,270,400","65,208,000",0,0,0
"61","2022","03","010","국무조정실 및 국무총리비서실","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입",0,0,0,0,0,0,0,0
"62","2022","03","013","법무부","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","699,000,000","8,610,790","360,633,260","15,847,520","216,178,040",0,0,"144,455,220"
"63","2022","03","013","법무부","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","703,000,000","37,607,500","275,689,500","37,419,740","199,992,190",0,0,"75,697,310"
"64","2022","03","013","법무부","110","일반회계","11","재산수입","51","관유물대여료","513","기타관유물대여료","17,000,000",0,"831,870",0,"831,870",0,0,0
"65","2022","03","013","법무부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","319,000,000","55,744,830","79,531,450","55,195,480","71,694,750",0,0,"7,836,700"
"66","2022","03","013","법무부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","547","기타재산이자외수입",0,"3,570,000","11,874,200","3,570,000","11,874,200",0,0,0
"67","2022","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","561","벌금및과료","1,177,457,000,000","90,072,585,750","259,047,674,120","89,636,105,750","257,744,104,120",0,0,"1,303,570,000"
"68","2022","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","562","몰수금및추징금","119,651,000,000","7,170,607,660","28,414,181,170","7,170,607,660","28,414,181,170",0,0,0
"69","2022","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","563","과태료","12,167,000,000","837,656,450","12,580,625,580","867,647,290","2,726,208,940",0,0,"9,854,416,640"
"70","2022","03","013","법무부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","564","징계부과금","283,000,000",0,"814,523,100","400,000","1,221,500",0,0,"813,301,600"
"71","2022","03","013","법무부","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","336,000,000","8,375,680","2,300,966,170","8,440,150","11,898,340",0,0,"2,289,067,830"
"72","2022","03","013","법무부","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금","687,000,000","202,770,320","571,853,500","202,770,320","570,790,590",0,0,"1,062,910"
