No.,회계년도,집행월,소관명,회계명,분야명,부문명,프로그램명,단위사업명,세부사업명,예산액,예산현액,당월지출금액,누계지출금액
"1","2022","202203","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","5,452,000,000","5,932,690,000","72,315,000","195,910,000"
"2","2022","202203","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","4,421,000,000","4,421,000,000","368,473,040","981,582,520"
"3","2022","202203","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","3,860,000,000","3,860,000,000","333,750,440","801,536,820"
"4","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(비총액)","3,086,000,000","3,306,000,000","138,153,110","1,517,216,920"
"5","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(총액)","1,690,000,000","1,690,000,000","289,700,550","550,733,910"
"6","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","기관운영","인건비","인건비(총액)","5,076,000,000","4,856,000,000","598,308,470","1,373,891,840"
"7","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","가습기살균제사건 진상규명","가습기살균제참사 진상규명 조사",0,"22,000,000",0,0
"8","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","대외 소통","대국민 소통 강화","79,000,000","79,000,000","10,150,000","30,045,000"
"9","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","세월호참사 진상규명","세월호참사 진상규명 조사","1,856,000,000","4,431,033,500","267,270,210","361,026,110"
"10","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","안전사회 건설","안전사회 건설","48,000,000","169,376,360","24,792,260","34,005,320"
"11","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","자료 수집 보존","종합보고서·백서 발간 및 기록물 이관·보존","549,000,000","966,972,100","134,132,800","256,816,300"
"12","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","청문회 지원","청문회 개최 지원 및 자료 검증","113,000,000","113,000,000",0,0
"13","2022","202203","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","일반·지방행정","일반행정","사회적참사 조사","피해 지원","피해자 지원 대책 수립","14,000,000","249,980,000","107,962,200","134,912,200"
"14","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","428,000,000","428,000,000","35,531,410","53,771,680"
"15","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","17,509,000,000","17,324,997,570","1,013,546,470","3,075,914,390"
"16","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","366,000,000","366,000,000","10,778,980","26,702,930"
"17","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","감사기구 역량강화(ODA)","197,000,000","197,000,000",0,0
"18","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","636,500,000","686,500,000","3,971,560","87,261,910"
"19","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","13,197,000,000","13,214,000,000","760,152,480","2,935,686,580"
"20","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","감사교육원 수입대체경비","383,000,000","383,000,000","6,510,600","36,045,600"
"21","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","90,572,000,000","90,572,000,000","7,203,078,630","22,432,361,170"
"22","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","전산운영경비(정보화)","9,096,000,000","9,443,598,880","561,755,590","853,681,830"
"23","2022","202203","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","노후시설 개보수 및 업무시설 정비","2,836,000,000","2,829,000,000","308,721,110","1,240,068,540"
"24","2022","202203","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(개인정보정책국)","205,000,000","205,000,000",0,"82,000,000"
"25","2022","202203","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기관운영)","560,000,000","560,000,000","19,676,500","134,425,500"
"26","2022","202203","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기획조정관)","297,000,000","297,000,000",0,"72,000,000"
"27","2022","202203","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(대변인)","60,000,000","60,000,000",0,"13,780,000"
"28","2022","202203","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(운영지원과)","181,000,000","181,000,000",0,"40,400,000"
"29","2022","202203","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(조사조정국)","231,000,000","231,000,000",0,"76,500,000"
