No.,회계연도,추경차수,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,본예산금액(천원),본예산외화금액(달러),추경정부안금액(천원),추경정부안외화금액(달러),추경국회확정금액(천원),추경국회확정외화금액(달러)
"1","2023","0","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","4,925,000","25,276",0,0,0,0
"2","2023","0","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","기본경비(경상운영비)","일반지출","4,421,000",0,0,0,0,0
"3","2023","0","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","인건비(기금인건비)","일반지출","3,922,000",0,0,0,0,0
"4","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","433,000","22,374",0,0,0,0
"5","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","17,078,000","266,275",0,0,0,0
"6","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","주요사업비(기금사업비)","일반지출","341,000","26,229",0,0,0,0
"7","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","감사기구 역량강화(ODA)","주요사업비(기금사업비)","일반지출","297,000",0,0,0,0,0
"8","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","822,000","312,160",0,0,0,0
"9","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","기본경비(경상운영비)","일반지출","13,450,000","17,526",0,0,0,0
"10","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","감사교육원 수입대체경비","주요사업비(기금사업비)","일반지출","376,000",0,0,0,0,0
"11","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","인건비(기금인건비)","일반지출","92,533,000","66,162",0,0,0,0
"12","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","전산운영경비(정보화)","주요사업비(기금사업비)","일반지출","7,505,000",0,0,0,0,0
"13","2023","0","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","노후시설 개보수 및 업무시설 정비","주요사업비(기금사업비)","일반지출","4,546,000",0,0,0,0,0
"14","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(개인정보정책국)","기본경비(경상운영비)","일반지출","212,000",0,0,0,0,0
"15","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기관운영)","기본경비(경상운영비)","일반지출","547,000",0,0,0,0,0
"16","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기획조정관)","기본경비(경상운영비)","일반지출","389,000",0,0,0,0,0
"17","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(대변인)","기본경비(경상운영비)","일반지출","86,000",0,0,0,0,0
"18","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(운영지원과)","기본경비(경상운영비)","일반지출","162,000",0,0,0,0,0
"19","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(조사조정국)","기본경비(경상운영비)","일반지출","223,000",0,0,0,0,0
"20","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(개인정보정책국)","기본경비(경상운영비)","일반지출","23,000",0,0,0,0,0
"21","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(기관운영)","기본경비(경상운영비)","일반지출","454,000",0,0,0,0,0
"22","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(기획조정관)","기본경비(경상운영비)","일반지출","32,000",0,0,0,0,0
"23","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(대변인)","기본경비(경상운영비)","일반지출","8,000",0,0,0,0,0
"24","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(운영지원과)","기본경비(경상운영비)","일반지출","10,000",0,0,0,0,0
"25","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(조사조정국)","기본경비(경상운영비)","일반지출","69,000",0,0,0,0,0
"26","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 인건비","위원회 인건비","인건비(기금인건비)","일반지출","13,988,000",0,0,0,0,0
"27","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호 협력체계 구축","주요사업비(기금사업비)","일반지출","1,521,000",0,0,0,0,0
"28","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호정책지원","주요사업비(기금사업비)","일반지출","6,108,000",0,0,0,0,0
"29","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","기술개발ㆍ전문인력 양성","주요사업비(기금사업비)","일반지출","1,530,000",0,0,0,0,0
"30","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호연구","개인정보기술표준개발지원(R&D)","주요사업비(기금사업비)","일반지출","1,500,000",0,0,0,0,0
"31","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호연구","개인정보보호강화기술연구개발(R&D)","주요사업비(기금사업비)","일반지출","5,995,000",0,0,0,0,0
"32","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호위원회 운영","위원회운영지원","주요사업비(기금사업비)","일반지출","3,019,000",0,0,0,0,0
"33","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보보호위원회 운영","위원회정보화지원(정보화)","주요사업비(기금사업비)","일반지출","3,920,000",0,0,0,0,0
"34","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보이슈대응","개인정보침해방지","주요사업비(기금사업비)","일반지출","10,939,000",0,0,0,0,0
"35","2023","0","개인정보보호위원회","일반회계","","일반·지방행정","정부자원관리","개인정보보호","개인정보활용지원","개인정보 전송요구권 보장","주요사업비(기금사업비)","일반지출","3,197,000",0,0,0,0,0
