No.,회계연도,추경차수,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,본예산금액(천원),추경정부안금액(천원),추경국회확정금액(천원)
"46","2023","0","고용노동부","국가균형발전특별회계","지역지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","15,386,000",0,0
"47","2023","0","고용노동부","국가균형발전특별회계","지역지원계정","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","2,000",0,0
"48","2023","0","고용노동부","국가균형발전특별회계","지역지원계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","551,000",0,0
"49","2023","0","고용노동부","일반회계","","경상이전수입","가산금","가산금","일반수입","264,000",0,0
"50","2023","0","고용노동부","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","187,640,000",0,0
"51","2023","0","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","1,072,000",0,0
"52","2023","0","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","43,503,000",0,0
"53","2023","0","고용노동부","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","91,000",0,0
"54","2023","0","고용노동부","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","10,000",0,0
"55","2023","0","고용노동부","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,217,000",0,0
"56","2023","0","고용노동부","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","10,000",0,0
"57","2023","0","고용노동부","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","139,000",0,0
"58","2023","0","공정거래위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","415,000",0,0
"59","2023","0","공정거래위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","1,543,000",0,0
"60","2023","0","공정거래위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","417,067,000",0,0
"61","2023","0","공정거래위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","2,665,000",0,0
"62","2023","0","공정거래위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000",0,0
"63","2023","0","공정거래위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","5,000",0,0
"64","2023","0","과학기술정보통신부","국가균형발전특별회계","지역지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","9,532,000",0,0
"65","2023","0","과학기술정보통신부","국가균형발전특별회계","지역지원계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","617,000",0,0
"66","2023","0","과학기술정보통신부","국립과천과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","4,066,000",0,0
"67","2023","0","과학기술정보통신부","국립과천과학관","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","193,000",0,0
"68","2023","0","과학기술정보통신부","국립과천과학관","손익계정","재산수입","관유물대여료","건물대여료","일반수입","719,000",0,0
"69","2023","0","과학기술정보통신부","국립과천과학관","손익계정","재산수입","관유물대여료","토지대여료","일반수입","40,000",0,0
"70","2023","0","과학기술정보통신부","국립과천과학관","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000",0,0
"71","2023","0","과학기술정보통신부","국립과천과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","191,000",0,0
"72","2023","0","과학기술정보통신부","국립과천과학관","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","25,015,000",0,0
"73","2023","0","과학기술정보통신부","국립과천과학관","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","386,000",0,0
"74","2023","0","과학기술정보통신부","국립과천과학관","자본계정","정부내부수입및기타","기타","감가상각비전입금","내부거래수입(회계내 계정간 거래)","1,500,000",0,0
"75","2023","0","과학기술정보통신부","국립과천과학관","자본계정","정부내부수입및기타","기타","당기순이익전입금","내부거래수입(회계내 계정간 거래)","1,000",0,0
"76","2023","0","과학기술정보통신부","국립과천과학관","자본계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","4,597,000",0,0
"77","2023","0","과학기술정보통신부","국립중앙과학관","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","1,750,000",0,0
"78","2023","0","과학기술정보통신부","국립중앙과학관","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","997,000",0,0
"79","2023","0","과학기술정보통신부","국립중앙과학관","손익계정","재산수입","관유물대여료","건물대여료","일반수입","155,000",0,0
"80","2023","0","과학기술정보통신부","국립중앙과학관","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","75,000",0,0
"81","2023","0","과학기술정보통신부","국립중앙과학관","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","27,419,000",0,0
"82","2023","0","과학기술정보통신부","국립중앙과학관","자본계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","2,000",0,0
"83","2023","0","과학기술정보통신부","국립중앙과학관","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","45,000",0,0
"84","2023","0","과학기술정보통신부","국립중앙과학관","자본계정","정부내부수입및기타","기타","감가상각비전입금","내부거래수입(회계내 계정간 거래)","1,131,000",0,0
"85","2023","0","과학기술정보통신부","국립중앙과학관","자본계정","정부내부수입및기타","기타","당기순이익전입금","내부거래수입(회계내 계정간 거래)","1,000",0,0
"86","2023","0","과학기술정보통신부","국립중앙과학관","자본계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","5,726,000",0,0
"87","2023","0","과학기술정보통신부","우체국보험특별회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","400,000",0,0
"88","2023","0","과학기술정보통신부","우체국보험특별회계","","경상이전수입","변상금및위약금","위약금","일반수입","10,000",0,0
"89","2023","0","과학기술정보통신부","우체국보험특별회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","50,000",0,0
"90","2023","0","과학기술정보통신부","우체국보험특별회계","","재화및용역판매수입","잡수입","부가보험료","일반수입","1,040,324,000",0,0
"91","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","700,000",0,0
"92","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","10,000",0,0
"93","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","기업특별회계영업수입","우정사업수입","금융영업이자수입","일반수입","2,199,500,000",0,0
"94","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","기업특별회계영업수입","우정사업수입","금융영업이자외수입","일반수입","81,817,000",0,0
"95","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","100,389,000",0,0
"96","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","5,000",0,0
"97","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","5,000",0,0
"98","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","재화및용역판매수입","잡수입","기타영업외잡수익","일반수입","200,000",0,0
"99","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","정부내부수입및기타","예탁원금회수","기금예탁원금회수","내부거래수입(기금=>예산간거래)","1,862,411,000",0,0
"100","2023","0","과학기술정보통신부","우체국예금특별회계","손익계정","정부내부수입및기타","예탁이자수입","기금예탁이자수입","내부거래수입(기금=>예산간거래)","87,275,000",0,0
