No.,회계년도,집행월,소관,소관명,회계,회계명,분야코드,분야명,부문코드,부문명,프로그램코드,프로그램명,단위사업코드,단위사업명,예산(원),당월집행액(원),누계집행액(원)
"1","2022","04","004","국가정보원","110","일반회계","010","일반·지방행정","016","일반행정","1100","국가정보지원","1131","정보활동","839,725,550,500","36,000,000,000","349,000,000,000"
"2","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1101","인건비","90,572,000,000","6,554,462,430","28,986,823,600"
"3","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1111","기본경비","13,214,000,000","1,081,927,930","4,017,614,510"
"4","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1131","감사활동경비","17,690,997,570","1,645,955,300","4,748,572,620"
"5","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1133","청사 및 시설물 관리","2,829,000,000","132,817,920","1,372,886,460"
"6","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1134","전산운영경비","9,443,598,880","487,345,730","1,341,027,560"
"7","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1135","국제교류협력강화","883,500,000","76,461,850","163,723,760"
"8","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1142","수입대체경비","383,000,000","17,356,920","53,402,520"
"9","2022","04","005","감사원","110","일반회계","010","일반·지방행정","016","일반행정","1100","감사활동 및 행정지원","1151","감사연구활동경비","428,000,000","29,973,000","83,744,680"
"10","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1031","의정지원","67,773,806,000","4,216,003,870","16,014,950,610"
"11","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1032","위원회운영지원","10,721,548,000","1,330,924,830","3,911,673,830"
"12","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1033","의회외교","11,984,146,000","911,203,210","2,847,608,690"
"13","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1034","국회활동관련단체지원","11,727,000,000","1,999,415,000","4,894,740,000"
"14","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","1000","의정활동지원","1035","예비금","1,300,000,000",0,0
"15","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2031","의회운영지원","37,158,467,580","8,236,203,630","15,183,095,410"
"16","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2032","법제활동지원","954,000,000","89,050,000","262,359,000"
"17","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2033","국회청사확보및시설관리","57,545,147,050","2,586,313,180","9,745,148,580"
"18","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2034","입법정보화","35,317,199,150","2,835,632,410","4,952,440,360"
"19","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2035","의회운영교육 수입대체경비","226,000,000","54,630,000","180,161,640"
"20","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","2000","국회사무처운영","2036","국회방송운영","14,365,102,220","1,000,612,020","3,173,908,190"
"21","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3031","도서관운영지원","5,714,082,000","440,355,720","1,827,930,400"
"22","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3032","입법정보지원","1,221,654,000","160,292,650","330,917,870"
"23","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3033","도서관자료확충및보존","7,344,264,000","979,021,400","2,694,765,180"
"24","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","3000","국회도서관운영","3035","전자도서관운영","25,186,000,000","5,173,474,300","6,030,587,220"
"25","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","4000","예산정책처운영","4031","기획관리및정책총괄지원","798,000,000","7,318,510","435,722,020"
"26","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","4000","예산정책처운영","4032","국가재정·경제분석및의안비용추계","3,233,544,540","158,895,760","1,133,903,870"
"27","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","4000","예산정책처운영","4033","예산정책처정보화","1,246,000,000","41,426,400","367,380,590"
"28","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","5000","입법조사처운영","5031","기획관리및운영지원","504,100,000","141,004,390","299,515,170"
"29","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","5000","입법조사처운영","5032","입법및정책조사분석","1,977,600,000","418,646,800","955,632,500"
"30","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","5000","입법조사처운영","5033","입법조사처 정보화","958,900,000","74,779,530","128,408,330"
"31","2022","04","006","국회","110","일반회계","010","일반·지방행정","011","입법및선거관리","7000","국회행정지원","7001","사무처 인건비","334,574,380,000","26,781,101,250","118,017,851,470"
