No.,회계년도,회계월,소관,소관명,회계,회계명,수입관,수입관명,수입항,수입항명,예산액(원),예산현액(원),당월수납금액(원),누계수납금액(원)
"1","2023","04","116","5·18민주화운동 진상규명조사위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료",0,0,0,0
"2","2023","04","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","30,000,000","30,000,000","452,370","107,703,780"
"3","2023","04","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","489,000,000","489,000,000","33,300,000","100,060,000"
"4","2023","04","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","16,000,000","16,000,000",0,0
"5","2023","04","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","104,000,000","104,000,000",0,0
"6","2023","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","58","가산금","3,000,000","3,000,000",0,"54,231,120"
"7","2023","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","1,265,000,000","1,265,000,000","1,336,939,380","1,349,030,520"
"8","2023","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","2,958,000,000","2,958,000,000","401,800,000","101,496,475,440"
"9","2023","04","117","개인정보보호위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","1,000,000","1,000,000",0,0
"10","2023","04","117","개인정보보호위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","15,000,000","15,000,000","160,113,100","160,874,620"
"11","2023","04","117","개인정보보호위원회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","1,000,000","1,000,000",0,"3,380"
"12","2023","04","117","개인정보보호위원회","110","일반회계","13","재화및용역판매수입","69","잡수입","1,000,000","1,000,000",0,0
"13","2023","04","037","경찰청","439","경찰병원","12","경상이전수입","59","기타경상이전수입","40,000,000","40,000,000","2,107,670","6,635,100"
"14","2023","04","037","경찰청","439","경찰병원","12","경상이전수입","56","벌금,몰수금및과태료",0,0,0,0
"15","2023","04","037","경찰청","439","경찰병원","12","경상이전수입","57","변상금및위약금","6,000,000","6,000,000","6,670","104,680"
"16","2023","04","037","경찰청","439","경찰병원","15","관유물매각대","71","고정자산매각대","25,000,000","25,000,000",0,0
"17","2023","04","037","경찰청","439","경찰병원","10","기업특별회계영업수입","49","책임운영기관사업수입","32,799,000,000","32,799,000,000","1,962,043,350","9,052,803,950"
"18","2023","04","037","경찰청","439","경찰병원","34","세계잉여금","89","세계잉여금이입액","14,034,000,000","14,034,000,000",0,0
"19","2023","04","037","경찰청","439","경찰병원","11","재산수입","51","관유물대여료","48,000,000","48,000,000","-367,370","-13,942,350"
"20","2023","04","037","경찰청","439","경찰병원","11","재산수입","54","기타이자수입및재산수입","1,000,000","1,000,000",0,0
"21","2023","04","037","경찰청","439","경찰병원","13","재화및용역판매수입","62","병원수입","6,300,000,000","6,300,000,000","557,216,870","2,153,771,170"
"22","2023","04","037","경찰청","439","경찰병원","13","재화및용역판매수입","69","잡수입","40,000,000","40,000,000","2,000,000","10,600,000"
"23","2023","04","037","경찰청","439","경찰병원","40","정부내부수입및기타","96","기타","2,000,000","2,000,000",0,0
"24","2023","04","037","경찰청","439","경찰병원","40","정부내부수입및기타","91","전입금","30,035,000,000","30,035,000,000","4,000,000,000","17,000,000,000"
"25","2023","04","037","경찰청","110","일반회계","12","경상이전수입","58","가산금","36,110,000,000","36,110,000,000","3,116,636,970","10,199,864,670"
"26","2023","04","037","경찰청","110","일반회계","12","경상이전수입","59","기타경상이전수입","10,966,000,000","10,966,000,000","875,350,080","7,481,444,300"
"27","2023","04","037","경찰청","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","1,061,889,000,000","1,061,889,000,000","105,795,098,540","395,209,052,060"
"28","2023","04","037","경찰청","110","일반회계","12","경상이전수입","57","변상금및위약금","1,856,000,000","1,856,000,000","40,794,830","109,861,680"
"29","2023","04","037","경찰청","110","일반회계","15","관유물매각대","71","고정자산매각대","5,563,000,000","5,563,000,000","253,562,900","837,462,520"
"30","2023","04","037","경찰청","110","일반회계","15","관유물매각대","72","토지및무형자산매각대","627,000,000","627,000,000",0,0
"31","2023","04","037","경찰청","110","일반회계","11","재산수입","51","관유물대여료","3,138,000,000","3,138,000,000","88,928,830","787,301,250"
"32","2023","04","037","경찰청","110","일반회계","11","재산수입","54","기타이자수입및재산수입","716,000,000","716,000,000","26,558,740","219,507,170"
