No.,회계년도,집행월,소관명,회계명,분야명,부문명,프로그램명,단위사업명,세부사업명,예산액,예산현액,당월지출금액,누계지출금액
"1","2023","202303","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","4,925,000,000","5,528,396,060","59,150,000","318,404,000"
"2","2023","202303","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","4,421,000,000","4,421,000,000","302,958,240","964,540,630"
"3","2023","202303","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","3,922,000,000","3,922,000,000","265,971,590","878,522,570"
"4","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","433,000,000","583,000,000","13,284,950","54,019,250"
"5","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","17,078,000,000","16,955,979,610","1,760,098,910","4,284,529,520"
"6","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","341,000,000","341,000,000","14,766,750","29,866,910"
"7","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","감사기구 역량강화(ODA)","297,000,000","297,000,000","364,800","3,064,800"
"8","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","822,000,000","901,804,000","80,128,900","311,559,470"
"9","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","13,450,000,000","13,430,196,000","975,787,590","3,303,584,740"
"10","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","감사교육원 수입대체경비","376,000,000","376,000,000","32,496,180","53,597,410"
"11","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","92,533,000,000","92,533,000,000","7,426,218,640","22,640,290,510"
"12","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","전산운영경비(정보화)","7,505,000,000","8,984,984,980","367,586,880","822,435,510"
"13","2023","202303","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","노후시설 개보수 및 업무시설 정비","4,546,000,000","4,546,000,000","69,281,200","824,951,210"
"14","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(개인정보정책국)","212,000,000","212,000,000","12,000,000","90,800,000"
"15","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기관운영)","547,000,000","547,000,000","65,120,160","139,733,010"
"16","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기획조정관)","389,000,000","389,000,000","43,000,000","133,000,000"
"17","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(대변인)","86,000,000","86,000,000","21,835,000","45,395,000"
"18","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(운영지원과)","162,000,000","162,000,000","10,000,000","59,020,000"
"19","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(조사조정국)","223,000,000","223,000,000","56,736,690","89,736,690"
"20","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(개인정보정책국)","23,000,000","23,000,000",0,"9,200,000"
"21","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(기관운영)","454,000,000","454,000,000","34,708,820","163,074,310"
"22","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(기획조정관)","32,000,000","32,000,000",0,"10,450,000"
"23","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(대변인)","8,000,000","8,000,000",0,"2,220,000"
"24","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(운영지원과)","10,000,000","10,000,000","760,000","5,240,000"
"25","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(조사조정국)","69,000,000","69,000,000",0,"17,250,000"
"26","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 인건비","위원회 인건비","13,988,000,000","13,988,000,000","1,414,684,860","3,412,025,740"
"27","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호 협력체계 구축","1,521,000,000","1,521,000,000","1,000,000,000","1,035,000,000"
"28","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호정책지원","6,108,000,000","6,108,000,000","3,787,700,000","3,787,700,000"
"29","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","기술개발ㆍ전문인력 양성","1,530,000,000","1,530,000,000","1,071,000,000","1,071,000,000"
"30","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호연구","개인정보기술표준개발지원(R&D)","1,500,000,000","1,500,000,000","1,485,000,000","1,485,000,000"
"31","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호연구","개인정보보호강화기술연구개발(R&D)","5,995,000,000","5,995,000,000","5,924,500,000","5,924,500,000"
"32","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호위원회 운영","위원회운영지원","3,019,000,000","3,019,000,000","165,028,960","572,632,130"
"33","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호위원회 운영","위원회정보화지원(정보화)","3,920,000,000","3,920,000,000","1,358,961,000","1,481,874,000"
"34","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보이슈대응","개인정보침해방지","10,939,000,000","10,939,000,000","5,320,400,000","5,326,400,000"
"35","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보활용지원","개인정보 전송요구권 보장","3,197,000,000","3,197,000,000","2,504,000,000","2,504,000,000"
"36","2023","202303","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보활용지원","안전한 데이터 활용 지원","4,992,000,000","4,992,000,000","2,496,000,000","2,496,000,000"
"37","2023","202303","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","경찰병원기본경비","183,000,000","183,000,000","22,742,170","24,759,490"
"38","2023","202303","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","경찰병원기본경비(총액인건비)","2,733,000,000","2,733,000,000","258,713,670","808,945,170"
"39","2023","202303","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","경찰병원인건비","43,182,000,000","43,182,000,000","3,243,389,520","10,103,904,700"
