No.,회계연도,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,정부안금액(천원),국회확정금액(천원)
"54","2023","고용노동부","근로복지진흥기금","신용보증사업계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","9,620,000","9,620,000"
"55","2023","고용노동부","근로복지진흥기금","신용보증사업계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","22,000","22,000"
"56","2023","고용노동부","근로복지진흥기금","신용보증사업계정","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","4,362,000","4,362,000"
"57","2023","고용노동부","근로복지진흥기금","실업대책사업계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","161,000","161,000"
"58","2023","고용노동부","근로복지진흥기금","중소복지계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","154,618,000","154,618,000"
"59","2023","고용노동부","근로복지진흥기금","중소복지계정","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","3,951,000","3,951,000"
"60","2023","고용노동부","근로복지진흥기금","중소복지계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,847,000","1,847,000"
"61","2023","고용노동부","근로복지진흥기금","중소복지계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","4,774,000","4,774,000"
"62","2023","고용노동부","산업재해보상보험및예방기금","","경상이전수입","가산금","가산금","일반수입","5,950,000","5,950,000"
"63","2023","고용노동부","산업재해보상보험및예방기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","107,210,000","107,210,000"
"64","2023","고용노동부","산업재해보상보험및예방기금","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","12,000","12,000"
"65","2023","고용노동부","산업재해보상보험및예방기금","","사회보장기여금","사회보장기여금","고용주부담금","일반수입","8,524,313,000","8,524,313,000"
"66","2023","고용노동부","산업재해보상보험및예방기금","","사회보장기여금","사회보장기여금","피고용자분담금","일반수입","185,055,000","185,055,000"
